sandbox_extension_issue_file_to_process failed for /tmp/lsh-godot-4.6.3-20260924/editor/Godot.app: 1 (Operation not permitted)
Godot Engine v4.6.3.stable.official.7d41c59c4 - https://godotengine.org
OpenGL API 4.1 Metal - 91.7 - Compatibility - Using Device: Apple - Apple M4 Max

WARNING: 2D MSAA is not yet supported for GLES3.
     at: render_target_set_msaa (drivers/gles3/storage/texture_storage.cpp:2934)
[rts-touch-ui] pc_1280_plain_selected PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_selected PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_toast PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_info PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_inventory PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_both PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_aiming PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_auto_aiming PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_approaching PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_casting PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_controlled PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_stats PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_dead PASS
[rts-touch-ui] xiaomi_12s_ultra_plain_idle PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_selected PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_toast PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_info PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_inventory PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_both PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_aiming PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_auto_aiming PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_approaching PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_casting PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_controlled PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_stats PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_dead PASS
[rts-touch-ui] xiaomi_12s_ultra_safe_idle PASS
[rts-touch-ui] vivo_x300_ultra_plain_selected PASS
[rts-touch-ui] vivo_x300_ultra_plain_toast PASS
[rts-touch-ui] vivo_x300_ultra_plain_info PASS
[rts-touch-ui] vivo_x300_ultra_plain_inventory PASS
[rts-touch-ui] vivo_x300_ultra_plain_both PASS
[rts-touch-ui] vivo_x300_ultra_plain_aiming PASS
[rts-touch-ui] vivo_x300_ultra_plain_auto_aiming PASS
[rts-touch-ui] vivo_x300_ultra_plain_approaching PASS
[rts-touch-ui] vivo_x300_ultra_plain_casting PASS
[rts-touch-ui] vivo_x300_ultra_plain_controlled PASS
[rts-touch-ui] vivo_x300_ultra_plain_stats PASS
[rts-touch-ui] vivo_x300_ultra_plain_dead PASS
[rts-touch-ui] vivo_x300_ultra_plain_idle PASS
[rts-touch-ui] vivo_x300_ultra_safe_selected PASS
