Godot Engine v4.6.3.stable.official.7d41c59c4 - https://godotengine.org

[android_update] state=idle text=Android content v2.0 progress=-1.00
[android_update] boot apk=2.0 content=2.0 bootstrap=4 platform=android architecture=arm64
[android_update] state=checking text=Checking for Android updates… progress=-1.00
[android_update] state=available text=Android content update v2.0.1 available (2.3 MB) progress=-1.00
[android_update] state=downloading text=Downloading Android update: 0% progress=0.00
[android_update] state=downloading text=Downloading Android update: 0% progress=0.00
[android_update] state=downloading text=Downloading Android update: 1% progress=0.01
[android_update] state=downloading text=Downloading Android update: 3% progress=0.03
[android_update] state=downloading text=Downloading Android update: 5% progress=0.05
[android_update] state=downloading text=Downloading Android update: 6% progress=0.06
[android_update] state=downloading text=Downloading Android update: 9% progress=0.09
[android_update] state=downloading text=Downloading Android update: 12% progress=0.12
[android_update] state=downloading text=Downloading Android update: 15% progress=0.15
[android_update] state=downloading text=Downloading Android update: 17% progress=0.17
[android_update] state=downloading text=Downloading Android update: 20% progress=0.20
[android_update] state=downloading text=Downloading Android update: 23% progress=0.23
[android_update] state=downloading text=Downloading Android update: 26% progress=0.26
[android_update] state=downloading text=Downloading Android update: 28% progress=0.28
[android_update] state=downloading text=Downloading Android update: 31% progress=0.31
[android_update] state=downloading text=Downloading Android update: 34% progress=0.34
[android_update] state=downloading text=Downloading Android update: 37% progress=0.37
[android_update] state=downloading text=Downloading Android update: 39% progress=0.39
[android_update] state=downloading text=Downloading Android update: 42% progress=0.42
[android_update] state=downloading text=Downloading Android update: 45% progress=0.45
[android_update] state=downloading text=Downloading Android update: 48% progress=0.48
[android_update] state=downloading text=Downloading Android update: 50% progress=0.50
[android_update] state=downloading text=Downloading Android update: 53% progress=0.53
[android_update] state=downloading text=Downloading Android update: 56% progress=0.56
[android_update] state=downloading text=Downloading Android update: 59% progress=0.59
[android_update] state=downloading text=Downloading Android update: 62% progress=0.62
[android_update] state=downloading text=Downloading Android update: 64% progress=0.64
[android_update] state=downloading text=Downloading Android update: 67% progress=0.67
[android_update] state=downloading text=Downloading Android update: 69% progress=0.69
[android_update] state=downloading text=Downloading Android update: 70% progress=0.70
[android_update] state=downloading text=Downloading Android update: 71% progress=0.71
[android_update] state=downloading text=Downloading Android update: 72% progress=0.72
[android_update] state=downloading text=Downloading Android update: 73% progress=0.73
[android_update] state=downloading text=Downloading Android update: 74% progress=0.74
[android_update] state=downloading text=Downloading Android update: 75% progress=0.75
[android_update] state=downloading text=Downloading Android update: 76% progress=0.76
[android_update] state=downloading text=Downloading Android update: 77% progress=0.77
[android_update] state=downloading text=Downloading Android update: 79% progress=0.79
[android_update] state=downloading text=Downloading Android update: 81% progress=0.81
[android_update] state=downloading text=Downloading Android update: 83% progress=0.83
[android_update] state=downloading text=Downloading Android update: 85% progress=0.85
[android_update] state=downloading text=Downloading Android update: 88% progress=0.88
[android_update] state=downloading text=Downloading Android update: 91% progress=0.91
[android_update] state=downloading text=Downloading Android update: 94% progress=0.94
[android_update] state=downloading text=Downloading Android update: 96% progress=0.96
[android_update] state=downloading text=Downloading Android update: 98% progress=0.98
[android_update] state=downloading text=Downloading Android update: 99% progress=0.99
[android_update] state=ready text=Android content v2.0.1 downloaded. Restart to apply. progress=1.00
[android-hot-candidate] {"checks":[{"name":"actual APK updater enabled in private Android simulation","passed":true},{"name":"original APK version and bootstrap preserved","passed":true},{"name":"Steam and desktop continuation remain disabled","passed":true},{"name":"download begins without an installed patch","passed":true},{"name":"HTTP candidate offered as compatible content patch","passed":true},{"name":"real HTTP download verified and persisted; old process remains original version","passed":true}],"details":{"download_state":"ready"},"native_android_tested":false,"passed":true}
