Godot Engine v4.6.3.stable.official.7d41c59c4 - https://godotengine.org

[android_update] state=idle text=Android content v2.0 progress=-1.00
[android_update] boot apk=2.0 content=2.0 bootstrap=4 platform=android architecture=arm64
[android_update] state=checking text=Checking for Android updates… progress=-1.00
[android_update] state=available text=Android content update v2.0.1 available (2.3 MB) progress=-1.00
[android_update] state=downloading text=Downloading Android update: 0% progress=0.00
[android_update] state=downloading text=Downloading Android update: 0% progress=0.00
[android_update] state=downloading text=Downloading Android update: 1% progress=0.01
[android_update] state=downloading text=Downloading Android update: 3% progress=0.03
[android_update] state=downloading text=Downloading Android update: 6% progress=0.06
[android_update] state=downloading text=Downloading Android update: 8% progress=0.08
[android_update] state=downloading text=Downloading Android update: 10% progress=0.10
[android_update] state=downloading text=Downloading Android update: 12% progress=0.12
[android_update] state=downloading text=Downloading Android update: 15% progress=0.15
[android_update] state=downloading text=Downloading Android update: 18% progress=0.18
[android_update] state=downloading text=Downloading Android update: 21% progress=0.21
[android_update] state=downloading text=Downloading Android update: 23% progress=0.23
[android_update] state=downloading text=Downloading Android update: 26% progress=0.26
[android_update] state=downloading text=Downloading Android update: 29% progress=0.29
[android_update] state=downloading text=Downloading Android update: 32% progress=0.32
[android_update] state=downloading text=Downloading Android update: 34% progress=0.34
[android_update] state=downloading text=Downloading Android update: 37% progress=0.37
[android_update] state=downloading text=Downloading Android update: 40% progress=0.40
[android_update] state=downloading text=Downloading Android update: 43% progress=0.43
[android_update] state=downloading text=Downloading Android update: 46% progress=0.46
[android_update] state=downloading text=Downloading Android update: 48% progress=0.48
[android_update] state=downloading text=Downloading Android update: 51% progress=0.51
[android_update] state=downloading text=Downloading Android update: 54% progress=0.54
[android_update] state=downloading text=Downloading Android update: 57% progress=0.57
[android_update] state=downloading text=Downloading Android update: 59% progress=0.59
[android_update] state=downloading text=Downloading Android update: 62% progress=0.62
[android_update] state=downloading text=Downloading Android update: 65% progress=0.65
[android_update] state=downloading text=Downloading Android update: 67% progress=0.67
[android_update] state=downloading text=Downloading Android update: 68% progress=0.68
[android_update] state=downloading text=Downloading Android update: 70% progress=0.70
[android_update] state=downloading text=Downloading Android update: 73% progress=0.73
[android_update] state=downloading text=Downloading Android update: 74% progress=0.74
[android_update] state=downloading text=Downloading Android update: 77% progress=0.77
[android_update] state=downloading text=Downloading Android update: 79% progress=0.79
[android_update] state=downloading text=Downloading Android update: 82% progress=0.82
[android_update] state=downloading text=Downloading Android update: 84% progress=0.84
[android_update] state=downloading text=Downloading Android update: 87% progress=0.87
[android_update] state=downloading text=Downloading Android update: 88% progress=0.88
[android_update] state=downloading text=Downloading Android update: 89% progress=0.89
[android_update] state=downloading text=Downloading Android update: 91% progress=0.91
[android_update] state=downloading text=Downloading Android update: 92% progress=0.92
[android_update] state=downloading text=Downloading Android update: 93% progress=0.93
[android_update] state=downloading text=Downloading Android update: 96% progress=0.96
[android_update] state=downloading text=Downloading Android update: 97% progress=0.97
[android_update] state=downloading text=Downloading Android update: 99% progress=0.99
[android_update] state=ready text=Android content v2.0.1 downloaded. Restart to apply. progress=1.00
[android-hot-candidate] {"checks":[{"name":"actual APK updater enabled in private Android simulation","passed":true},{"name":"original APK version and bootstrap preserved","passed":true},{"name":"Steam and desktop continuation remain disabled","passed":true},{"name":"download begins without an installed patch","passed":true},{"name":"HTTP candidate offered as compatible content patch","passed":true},{"name":"real HTTP download verified and persisted; old process remains original version","passed":true}],"details":{"download_state":"ready"},"native_android_tested":false,"passed":true}
