Godot Engine v4.6.3.stable.official.7d41c59c4 - https://godotengine.org

[daming-play] t=0 phase=outpost spies=admit army=7 cover=[true, true, true] gate=false fire=false prison=false rescued=false hall=1500.0
[daming-debug] wu_yong cell=(29, 54) state=0 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(31, 51) state=0 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(32, 51) state=0 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-play] t=60 phase=gate_tower spies=ready army=10 cover=[true, true, true] gate=false fire=false prison=true rescued=false hall=1500.0
[daming-debug] wu_yong cell=(19, 50) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(20, 47) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(20, 48) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(18, 50) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(19, 52) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(26, 61) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-play] t=120 phase=gate_tower spies=ready army=11 cover=[true, true, true] gate=false fire=false prison=true rescued=false hall=1500.0
[daming-debug] wu_yong cell=(19, 49) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(20, 47) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(20, 48) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(18, 49) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(19, 52) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(28, 61) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(28, 60) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-play] t=180 phase=gate_tower spies=ready army=15 cover=[true, true, true] gate=false fire=false prison=true rescued=false hall=1500.0
[daming-debug] wu_yong cell=(19, 49) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(20, 47) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(20, 48) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(18, 49) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(19, 52) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(28, 61) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(28, 60) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] siege_cata cell=(40, 61) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] siege_cata cell=(40, 60) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(28, 60) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(31, 65) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-play] t=240 phase=gate_tower spies=ready army=25 cover=[true, true, true] gate=false fire=false prison=true rescued=false hall=1500.0
[daming-debug] wu_yong cell=(19, 49) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(20, 47) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(20, 48) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(18, 49) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(19, 52) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(28, 60) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(29, 60) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] siege_cata cell=(40, 61) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] siege_cata cell=(40, 60) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(28, 58) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(31, 65) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(31, 65) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(26, 58) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(26, 58) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
[daming-debug] liang_gong cell=(27, 59) state=1 target=none path=[] tower_hp=700.0 visible=true fog=true
