key,name,defense_enemy_instances,has_reference,idle_directions,walk_directions,attack_directions,death_directions
guan_gong,官军弓手,246,true,4,4,4,4
guan_jingqi,官军精骑,117,true,4,4,4,4
guan_dao,官军刀盾兵,111,true,4,4,4,4
guan_qi,官军骑兵,66,true,4,4,4,4
guan_zhanzi,刽子手,54,true,4,0,0,0
siege_cata,投石车,50,true,4,0,0,0
guan_musket,官军火枪手,27,true,4,0,0,0
zhu_qi,祝家马军,24,true,4,0,0,0
camel_rider,骆驼骑兵,20,true,0,0,0,0
guan_bomber,官军投弹手,9,true,0,0,0,0
jiang_thug,蒋家打手,8,true,4,0,0,0
zhu_gong,祝家弓手,6,true,4,0,0,0
war_elephant,战象,5,true,0,0,0,0
hu_yanzhuo,呼延灼,2,true,0,0,0,0
shi_wengong,史文恭,2,true,0,0,0,0
wang_huan,王焕,2,true,0,0,0,0
zhu_biao,祝彪,2,true,0,0,0,0
zhu_hu,祝虎,2,true,0,0,0,0
zhu_long,祝龙,2,true,0,0,0,0
ding_desun,丁得孙,1,true,0,0,0,0
duan_pengju,段鹏举,1,true,0,0,0,0
gao_qiu,高俅,1,true,0,0,0,0
gong_wang,龚旺,1,true,0,0,0,0
han_tao,韩滔,1,true,0,0,0,0
hu_sanniang,扈三娘,1,true,0,0,0,0
jiang_menshen,蒋门神,1,true,0,0,0,0
jing_zhong,荆忠,1,true,0,0,0,0
li_congji,李从吉,1,true,0,0,0,0
ling_zhen,凌振,1,true,0,0,0,0
luan_tingyu,栾廷玉,1,true,0,0,0,0
mei_zhan,梅展,1,true,0,0,0,0
peng_qi,彭玘,1,true,0,0,0,0
shan_tinggui,单廷圭,1,true,0,0,0,0
tong_guan,童贯,1,true,0,0,0,0
wang_wende,王文德,1,true,0,0,0,0
wei_dingguo,魏定国,1,true,0,0,0,0
wen_da,闻达,1,true,0,0,0,0
xiang_yuanzhen,项元镇,1,true,0,0,0,0
xu_jing,徐京,1,true,0,0,0,0
yang_wen,杨温,1,true,0,0,0,0
zhang_kai,张开,1,true,0,0,0,0
zhang_qing,张清,1,true,0,0,0,0
an_daoquan,安道全,0,true,0,0,0,0
bai_sheng,白胜,0,true,0,0,0,0
bao_xu,鲍旭,0,true,0,0,0,0
cai_fu,蔡福,0,true,0,0,0,0
cai_jiu,蔡九知府,0,true,0,0,0,0
cai_qing,蔡庆,0,true,0,0,0,0
cao_zheng,曹正,0,true,0,0,0,0
chai_jin,柴进,0,true,0,0,0,0
chao_gai,晁盖,0,true,0,0,0,0
chen_da,陈达,0,true,0,0,0,0
dai_zong,戴宗,0,true,0,0,0,0
deng_fei,邓飞,0,true,0,0,0,0
dong_chao,董超,0,false,0,0,0,0
dong_ping,董平,0,true,0,0,0,0
dragon_summon,金龙,0,true,0,0,0,0
du_qian,杜迁,0,true,0,0,0,0
du_xing,杜兴,0,true,0,0,0,0
duan_jingzhu,段景住,0,true,0,0,0,0
fan_rui,樊瑞,0,true,0,0,0,0
gong_ren,防送公人,0,true,0,0,0,0
gongsun_sheng,公孙胜,0,true,0,0,0,0
gou_lian,钩镰枪手,0,true,4,4,4,0
gu_dasao,顾大嫂,0,true,0,0,0,0
guan_laozi,江州牢子,0,true,4,0,0,0
guan_sheng,关胜,0,true,0,0,0,0
guan_zhanchuan,官军战船,0,false,0,0,0,0
guo_sheng,郭盛,0,true,0,0,0,0
hao_siwen,郝思文,0,true,0,0,0,0
hou_jian,侯健,0,true,0,0,0,0
hua_rong,花荣,0,true,0,0,0,0
huang_xin,黄信,0,true,0,0,0,0
huangfu_duan,皇甫端,0,true,0,0,0,0
jiang_jing,蒋敬,0,true,0,0,0,0
jiao_ting,焦挺,0,true,0,0,0,0
jin_dajian,金大坚,0,true,0,0,0,0
jun_han,军汉,0,true,4,0,0,0
kong_liang,孔亮,0,true,0,0,0,0
kong_ming,孔明,0,true,0,0,0,0
lao_duguan,老都管,0,true,4,0,0,0
lei_heng,雷横,0,true,0,0,0,0
li_gun,李衮,0,true,0,0,0,0
li_jun,李俊,0,true,0,0,0,0
li_kui,李逵,0,true,4,4,4,0
li_li,李立,0,true,0,0,0,0
li_ying,李应,0,true,0,0,0,0
li_yun,李云,0,true,0,0,0,0
li_zhong,李忠,0,true,0,0,0,0
lian_huan_ma,连环马,0,true,4,4,4,4
liang_dao,朴刀手,0,true,4,0,0,0
liang_gong,弓手,0,true,4,0,0,0
liang_ma,梁山马军,0,true,4,0,0,0
liang_qiang,长枪手,0,true,4,0,0,0
lin_chong,林冲,0,true,4,4,4,4
liu_tang,刘唐,0,true,0,0,0,0
lou_luo,喽啰,0,true,4,0,0,0
lu_fang,吕方,0,true,0,0,0,0
lu_junyi,卢俊义,0,true,0,0,0,0
lu_qian,陆谦,0,false,0,0,0,0
lu_zhishen,鲁智深,0,true,0,0,0,0
ma_lin,马麟,0,true,0,0,0,0
meng_kang,孟康,0,true,0,0,0,0
mu_chun,穆春,0,true,0,0,0,0
mu_hong,穆弘,0,true,0,0,0,0
ou_peng,欧鹏,0,true,0,0,0,0
pei_xuan,裴宣,0,true,0,0,0,0
qin_ming,秦明,0,true,0,0,0,0
ruan_brother,阮氏好汉,0,true,0,0,0,0
ruan_xiaoqi,阮小七,0,true,0,0,0,0
ruan_xiaowu,阮小五,0,true,0,0,0,0
shi_en,施恩,0,true,0,0,0,0
shi_jin,史进,0,true,0,0,0,0
shi_qian,时迁,0,true,0,0,0,0
shi_xiu,石秀,0,true,0,0,0,0
shi_yong,石勇,0,true,0,0,0,0
siege_ram,撞车,0,true,4,0,0,0
song_jiang,宋江,0,true,4,4,4,4
song_qing,宋清,0,true,0,0,0,0
song_wan,宋万,0,true,0,0,0,0
sun_erniang,孙二娘,0,true,0,0,0,0
sun_li,孙立,0,true,0,0,0,0
sun_xin,孙新,0,true,0,0,0,0
suo_chao,索超,0,true,0,0,0,0
tang_long,汤隆,0,true,0,0,0,0
tao_zongwang,陶宗旺,0,true,0,0,0,0
tiger_summon,猛虎,0,true,0,0,0,0
tong_meng,童猛,0,true,0,0,0,0
tong_wei,童威,0,true,0,0,0,0
wang_dingliu,王定六,0,true,0,0,0,0
wang_ying,王英,0,true,0,0,0,0
wu_song,武松,0,true,0,0,0,0
wu_yong,吴用,0,true,0,0,0,0
xiang_chong,项充,0,true,0,0,0,0
xiao_rang,萧让,0,true,0,0,0,0
xie_bao,解宝,0,true,0,0,0,0
xie_zhen,解珍,0,true,0,0,0,0
xu_ning,徐宁,0,true,0,0,0,0
xuan_zan,宣赞,0,true,0,0,0,0
xue_ba,薛霸,0,false,0,0,0,0
xue_yong,薛永,0,true,0,0,0,0
yan_qing,燕青,0,true,0,0,0,0
yan_shun,燕顺,0,true,0,0,0,0
yang_chun,杨春,0,true,0,0,0,0
yang_lin,杨林,0,true,0,0,0,0
yang_xiong,杨雄,0,true,0,0,0,0
yang_zhi,杨志,0,true,0,0,0,0
yu_baosi,郁保四,0,true,0,0,0,0
yu_hou,虞候,0,true,4,0,0,0
yue_he,乐和,0,true,0,0,0,0
zhang_heng,张横,0,true,0,0,0,0
zhang_qing_cai,张青,0,true,0,0,0,0
zhang_shun,张顺,0,true,0,0,0,0
zhang_tuanlian,张团练,0,true,0,0,0,0
zheng_tianshou,郑天寿,0,true,0,0,0,0
zhou_tong,周通,0,true,0,0,0,0
zhu_fu,朱富,0,true,0,0,0,0
zhu_gui,朱贵,0,true,0,0,0,0
zhu_keke,祝家庄客,0,true,4,0,0,0
zhu_tong,朱仝,0,true,0,0,0,0
zhu_wu,朱武,0,true,0,0,0,0
zhu_zhaofeng,祝朝奉,0,false,0,0,0,0
zou_run,邹润,0,true,0,0,0,0
zou_yuan,邹渊,0,true,0,0,0,0
