character,state,direction,exact_resource,sha256,frames,status
song_jiang,idle,se,assets/anim/song_jiang_idle_se.tres,f04c5648ab585d03bf455845411833c731f26d1aa779b453bb11a8c43f120da5,idle,existing exact resource; visual acceptance separate
song_jiang,idle,sw,assets/anim/song_jiang_idle_sw.tres,593ee2c4ba61467940be476cbe9927083d0546571c4eaa23aac17f14f736d0d0,idle,existing exact resource; visual acceptance separate
song_jiang,idle,ne,assets/anim/song_jiang_idle_ne.tres,f656722877ea90d460ddf737b1c62bf8a5614887a1108324d6cdf4081c3288e3,idle,existing exact resource; visual acceptance separate
song_jiang,idle,nw,assets/anim/song_jiang_idle_nw.tres,c65046c939fb4d4149f37c4997ab3d0e67dd71501c2ae3692f2b7b95da7f67bf,idle,existing exact resource; visual acceptance separate
song_jiang,walk,se,assets/anim/song_jiang_walk_se.tres,a8c438be9533a3dbe5ead5d0ca8fc1e2cd88ef158b7b0ac8aa9801f9c16b11c3,"idle,walk",existing exact resource; visual acceptance separate
song_jiang,walk,sw,assets/anim/song_jiang_walk_sw.tres,8a698277a24b81eb95f717ac8f2c89a3621fe96c7db9996701cfa117caeec831,"idle,walk",existing exact resource; visual acceptance separate
song_jiang,walk,ne,assets/anim/song_jiang_walk_ne.tres,758aa420408b3c227363c5df82be58f89a39bb12d1e2477e05e930de538d0dcc,"idle,walk",existing exact resource; visual acceptance separate
song_jiang,walk,nw,assets/anim/song_jiang_walk_nw.tres,8b6b9078e28668d171b89d8989cfc979f638993359aff431812c792290d18f07,"idle,walk",existing exact resource; visual acceptance separate
song_jiang,attack,se,assets/anim/song_jiang_attack_se.tres,4eea64a857c03055d6fb5cb0896eafc65d8a64b2247c7a2587b125ca66c74901,"idle,attack,idle",existing exact resource; visual acceptance separate
song_jiang,attack,sw,assets/anim/song_jiang_attack_sw.tres,ec5a8a16d5baaa56119972f2712116fd0131f16ea9426ee498defb57612d0a6b,"idle,attack,idle",existing exact resource; visual acceptance separate
song_jiang,attack,ne,assets/anim/song_jiang_attack_ne.tres,eb6974cee09eb63bf41155ea4d964a2c5910f58603d228c0ed2cedca3c2e89bb,"idle,attack,idle",existing exact resource; visual acceptance separate
song_jiang,attack,nw,assets/anim/song_jiang_attack_nw.tres,0e7a2889fc09fd5de5ffbcb65e3dadd3980cfba6d61f990fba7e1e0ec4c95dfb,"idle,attack,idle",existing exact resource; visual acceptance separate
song_jiang,hurt,se,,,,missing independent directional state
song_jiang,hurt,sw,,,,missing independent directional state
song_jiang,hurt,ne,,,,missing independent directional state
song_jiang,hurt,nw,,,,missing independent directional state
song_jiang,death,se,assets/anim/song_jiang_death_se.tres,32f0c7d8de23fc54fb7c069d7bfefff399ca2457bd9af50b4d6468bd3fee70b2,"idle,fall,down,down",existing exact resource; visual acceptance separate
song_jiang,death,sw,assets/anim/song_jiang_death_sw.tres,9a41d5656456fb854837d08d847fb6d66dbec83e92830e20e4dbb0c56f82a013,"idle,fall,down,down",existing exact resource; visual acceptance separate
song_jiang,death,ne,assets/anim/song_jiang_death_ne.tres,c7fa4eb2634e2f7341a0be890139e973746e6b828319910a129909036ce09cd2,"idle,fall,down,down",existing exact resource; visual acceptance separate
song_jiang,death,nw,assets/anim/song_jiang_death_nw.tres,0a02dc7bc208f861d47c5d8da155184776a8c4f7dec0e3bb6cf070d86fba5e06,"idle,fall,down,down",existing exact resource; visual acceptance separate
lin_chong,idle,se,assets/anim/lin_chong_idle_se.tres,e68fe86b03465df21ade8f80cb1c39ac7090e18d0af54c5e45b68e6fe299551d,idle,existing exact resource; visual acceptance separate
lin_chong,idle,sw,assets/anim/lin_chong_idle_sw.tres,7add1d5ac0d365a85c02e267e051efb1b381f521bf048ed06f085effb8574140,idle,existing exact resource; visual acceptance separate
lin_chong,idle,ne,assets/anim/lin_chong_idle_ne.tres,6e4eb6ea8ebf59b500d10dbfc5b83be53c7d1feaeeaa06b7cb96f82ed16ca580,idle,existing exact resource; visual acceptance separate
lin_chong,idle,nw,assets/anim/lin_chong_idle_nw.tres,7900895b03e8f58158791a94292875a93a080674eedeed6886900040c721ae47,idle,existing exact resource; visual acceptance separate
lin_chong,walk,se,assets/anim/lin_chong_walk_se.tres,0a06ef1b7b40674839260581dfc7979aa51c7a64f7f626bcf49ea8d29471b17d,"idle,walk_a,idle,walk_b",existing exact resource; visual acceptance separate
lin_chong,walk,sw,assets/anim/lin_chong_walk_sw.tres,3ec0c5ff24754c476fe8c6c1f57a2e105125df16ab5317dd9a888db006b42f1f,"idle,walk_a,idle,walk_b",existing exact resource; visual acceptance separate
lin_chong,walk,ne,assets/anim/lin_chong_walk_ne.tres,4fcbefd2b86e1d229d02cb598b3ded5644694a3c3319e351faa2de3e0baf326a,"idle,walk_a,idle,walk_b",existing exact resource; visual acceptance separate
lin_chong,walk,nw,assets/anim/lin_chong_walk_nw.tres,3ea67bcbf11a831c07ac9d33dc4ce97b81752bf507278c8071798e6966032831,"idle,walk_a,idle,walk_b",existing exact resource; visual acceptance separate
lin_chong,attack,se,assets/anim/lin_chong_attack_se.tres,6f8e6d54957d086a9d4bdcc4c97865b32077e00e8a703f0887fc38521b3c0f01,"windup,windup,thrust,thrust,idle",existing exact resource; visual acceptance separate
lin_chong,attack,sw,assets/anim/lin_chong_attack_sw.tres,665ca8b319ed1160d3cb62957db839c6396f6b496fd0767bfd9aa5f044b8b030,"windup,windup,thrust,thrust,idle",existing exact resource; visual acceptance separate
lin_chong,attack,ne,assets/anim/lin_chong_attack_ne.tres,13550c8bf98229938ca1e7b3eae1768f8bf3145f3e73470e803dd1487fe521e3,"windup,windup,thrust,thrust,idle",existing exact resource; visual acceptance separate
lin_chong,attack,nw,assets/anim/lin_chong_attack_nw.tres,29ca777954b53b895f96956f2079db4568a4c15fb61e53c1343ca0cd65b94f17,"windup,windup,thrust,thrust,idle",existing exact resource; visual acceptance separate
lin_chong,hurt,se,assets/anim/lin_chong_hurt_se.tres,219625a10d307b4e234d56f48eb66d26c7a5960a0fcad6829aa546f03709f221,hurt,existing exact resource; visual acceptance separate
lin_chong,hurt,sw,assets/anim/lin_chong_hurt_sw.tres,b859b91fd96a331cad39ebea4afbbc24ce18afc2dc76894235dab2074fcd2c34,hurt,existing exact resource; visual acceptance separate
lin_chong,hurt,ne,assets/anim/lin_chong_hurt_ne.tres,25f229dcd7bacde8f4f2a92e24d1c78eb0df3aa8691a66a12bbf1f80ce85c13f,hurt,existing exact resource; visual acceptance separate
lin_chong,hurt,nw,assets/anim/lin_chong_hurt_nw.tres,2c4ac6c679919dd910ba28fcf7682736dc19b664622edc6a52082768a9a16648,hurt,existing exact resource; visual acceptance separate
lin_chong,death,se,assets/anim/lin_chong_death_se.tres,2c9578739211c5cd7e9c62fc40a18bdfbb32a313f1630519721ec1f860d01384,"hurt,fall,down,down",existing exact resource; visual acceptance separate
lin_chong,death,sw,assets/anim/lin_chong_death_sw.tres,be3ae00ea05dd6bf62bbd79a770bed17c2324c1660e0b254ce6e8629b3c6f125,"hurt,fall,down,down",existing exact resource; visual acceptance separate
lin_chong,death,ne,assets/anim/lin_chong_death_ne.tres,ce6842a014d2bc17cbed39f2295684413e306b400f113ccaaff550712fb9f276,"hurt,fall,down,down",existing exact resource; visual acceptance separate
lin_chong,death,nw,assets/anim/lin_chong_death_nw.tres,f6f6af7ce79ead17fc3d579f0f55944cd0b56708b2a2ff39fc5a3f6217288423,"hurt,fall,down,down",existing exact resource; visual acceptance separate
