api_name	unlocked_jpeg	locked_jpeg
ACH_CLEAR_LEVEL_1	9654a1efde88322b121a55539bbcc6a87bb895f7.jpg	4cc407c4b0753c416b5f01b0211a784fc7817c8d.jpg
ACH_STORY_LEVEL_1	411c74a29e8e6c4828d191be81197e6b10216997.jpg	d1fcd3b26bbc479d0af033b9ad546213cf7f14ca.jpg
ACH_CLEAR_LEVEL_2	098fa8fae8eaa17418175d9d331e3502e3b75f6a.jpg	78e8653a21b511e8d6aad8ed3a681720473c6294.jpg
ACH_STORY_LEVEL_2	9dd11dba55425563472e3e10241258078937c8ed.jpg	cd859e6d2e5a4b17a0c5fcb2e6f8c64262742d9e.jpg
ACH_CLEAR_LEVEL_3	041c2c8ad105b2d9b9b64adb00720430564598fc.jpg	a035bd08dbb8c9fb58e8103cfdd999b4d4e47944.jpg
ACH_STORY_LEVEL_3	63fc317f739852c806af5614208606c211ccf45d.jpg	811967f5d5eeea762912c7959bb34bf350f350e2.jpg
ACH_CLEAR_LEVEL_4	cda385253cb363f5669f94d846e7ae441971802a.jpg	3a3162585fe4d33838839dcfc705f09a175e5610.jpg
ACH_STORY_LEVEL_4	6c9b933f9df34702d15718fee7a1b688ba09e15b.jpg	e4068c958472b84720271c237ac510bf61effdd7.jpg
ACH_CLEAR_LEVEL_5	8a63cee6813b54f7cac55aedd02f18e811ed8a22.jpg	ca82e651fd9454eeb5d39a459a647f328e296024.jpg
ACH_STORY_LEVEL_5	e59be976869afd5cfa494b34d4ed113ed63c028e.jpg	5fd58b07cf46a3f85bbc47405b3442ce32d22f95.jpg
ACH_CLEAR_LEVEL_6	6d6edcd4f8537e4118fb8acddb29e41701e147dc.jpg	48f7fd7603c4f99c1655bdcd2c1da10ef180b278.jpg
ACH_STORY_LEVEL_6	92b8a52817fefcd2bf500f7dff3037101ce27efd.jpg	8a26b34099224336c0bb1ae50e48ffabb505973b.jpg
ACH_CLEAR_LEVEL_7	04338b7cb0e7da4960a5aa5742b9e1c75951876a.jpg	01aa95d8659cf07f3a647c151d8f17f2c84b3f1c.jpg
ACH_STORY_LEVEL_7	948824b9aa49eb6449c007b4000f206009463569.jpg	ed3b20972a1e8589097104850f3f926eb6455a4b.jpg
ACH_CLEAR_LEVEL_8	20b1dfc5bae71294e16bd5e1bc89b5d3994c064b.jpg	3fdd9dc26a0b153234b6b8eb4c22bdcec2771418.jpg
ACH_STORY_LEVEL_8	2e6d2660f9c9bccc75f62732c62a965e09adca47.jpg	cf947b8520268d7cb0cbbeb9f1286711c604766b.jpg
ACH_ALL_CLEAR	9654a1efde88322b121a55539bbcc6a87bb895f7.jpg	4cc407c4b0753c416b5f01b0211a784fc7817c8d.jpg
ACH_ALL_STORY	9dd11dba55425563472e3e10241258078937c8ed.jpg	cd859e6d2e5a4b17a0c5fcb2e6f8c64262742d9e.jpg
ACH_DEFENSE_30	f061c9c935394571be48ff1af658734e19025c47.jpg	9a523acedd4c9965b8dc15efdd6dd00c0831ce35.jpg
ACH_DEFENSE_60	cdc3f25d4f3e18b095b348c35e91a6d00628fed0.jpg	4870d898ea21ef678afb484b8d6831a60190cc3b.jpg
ACH_WINS_10	8a63cee6813b54f7cac55aedd02f18e811ed8a22.jpg	ca82e651fd9454eeb5d39a459a647f328e296024.jpg
ACH_WINS_50	6d6edcd4f8537e4118fb8acddb29e41701e147dc.jpg	48f7fd7603c4f99c1655bdcd2c1da10ef180b278.jpg
ACH_WINS_100	04338b7cb0e7da4960a5aa5742b9e1c75951876a.jpg	01aa95d8659cf07f3a647c151d8f17f2c84b3f1c.jpg
ACH_KILLS_1000	727e3baf76253a79d15ffa5b6f63cf1439dbe364.jpg	7311e276199b3da9ec2271a1b796ee2b7ce23525.jpg
ACH_KILLS_10000	cd43b2e13dcbb828fd6a88a7d99b75e395038943.jpg	b13462eca89017a476ef68e5f36b66276071f56a.jpg
ACH_KILLS_100000	1a02f7d506659750e2b7e17f11ba60aa78e90d29.jpg	3deccf4329f9cab5ab6961fbadd2adba5f5a72ba.jpg
ACH_DEFENSE_WINS_10	f061c9c935394571be48ff1af658734e19025c47.jpg	9a523acedd4c9965b8dc15efdd6dd00c0831ce35.jpg
ACH_DEFENSE_WINS_50	cdc3f25d4f3e18b095b348c35e91a6d00628fed0.jpg	4870d898ea21ef678afb484b8d6831a60190cc3b.jpg
ACH_AI_WINS_1	cc3fd5cc6a5516165994a88c29afa11b92d3562b.jpg	a43dcf6427af38a8024b14ec7b246a016af813c2.jpg
ACH_AI_WINS_10	186460d57608664fa14777368ccfc0e9c719ff43.jpg	cc7e5c4fab8fea661b0b4fb1beff950d12582750.jpg
