Godot Engine v4.6.3.stable.official.7d41c59c4 - https://godotengine.org

CONTACT_PROBE {"active":"","arrival":0.0,"distance":693.255249023438,"intent":true,"opened":false,"position":"(1493.009, 741.2044)","time":0,"token":1}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":487.579498291016,"intent":true,"opened":false,"position":"(1298.333, 663.3348)","time":5,"token":1}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":287.571655273438,"intent":true,"opened":false,"position":"(1100.919, 630.9698)","time":10,"token":1}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":89.4150085449219,"intent":true,"opened":false,"position":"(894.0618, 635.6051)","time":15,"token":1}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":87.7871627807617,"intent":false,"opened":false,"position":"(891.9332, 636.0538)","time":20,"token":0}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":87.7871627807617,"intent":false,"opened":false,"position":"(891.9332, 636.0538)","time":25,"token":0}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":87.7871627807617,"intent":false,"opened":false,"position":"(891.9332, 636.0538)","time":30,"token":0}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":87.7871627807617,"intent":false,"opened":false,"position":"(891.9332, 636.0538)","time":35,"token":0}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":87.7871627807617,"intent":false,"opened":false,"position":"(891.9332, 636.0538)","time":40,"token":0}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":87.7871627807617,"intent":false,"opened":false,"position":"(891.9332, 636.0538)","time":45,"token":0}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":87.7871627807617,"intent":false,"opened":false,"position":"(891.9332, 636.0538)","time":50,"token":0}
CONTACT_PROBE {"active":"","arrival":0.0,"distance":87.7871627807617,"intent":false,"opened":false,"position":"(891.9332, 636.0538)","time":55,"token":0}
